Item Name,Base Price (₹),Final Price (₹),Status
"Penne Arraibiata","-","-","not found"
"Double Baked Macaroni","-","-","not found"
"Al Forno Pink Penne","-","-","not found"
"Penne Basil Pesto Pasta","-","-","not found"
"Penne Amerillo Sauce Pasta","-","-","not found"
"One Pot Fajita Penne Pasta","-","-","not found"
"Aglio Olio Peperoncino Spaghetti","-","-","not found"
"Ravioli Pasta","-","-","not found"
"Popo's Veggie Delight Pizza","-","-","not found"
"Chilli Pomodoro Pizza","-","-","not found"
"Truffle Funghi Misti Pizza","-","-","not found"
"Diavola Veg Pizza","-","-","not found"
"Punchy Paneer Pizza","-","-","not found"
"Italian Margherita Pizza","-","-","not found"
"Pizza Verde","-","-","not found"
"Quattro Stagioni Pizza","-","-","not found"
